Sales,Price per count,star,comment count
0.8,58.49,0.7999999999999998,1294
0.8,125.99,0.5,885
2.0,69.99,0.40000000000000036,403
3.0,116.96,0.5999999999999996,7912
2.0,59.99,0.5,7053
0.7,160.99,0.40000000000000036,273
0.1,139.99,0.7000000000000002,2184
0.8,125.99,0.5,885
1.0,68.84,0.5999999999999996,9007
2.0,74.99,0.5,4912
1.0,54.0,0.5999999999999996,1204
0.05,163.25,0.9000000000000004,611
0.4,45.53,0.5999999999999996,113
0.5,109.99,0.5999999999999996,1554
1.0,109.99,0.5999999999999996,595
2.0,64.99,0.5999999999999996,16777
0.1,129.99,0.7000000000000002,574
0.3,74.99,0.2999999999999998,62
0.2,50.99,0.40000000000000036,173
0.3,231.99,0.5999999999999996,1644
1.0,109.99,0.5999999999999996,595
0.05,44.99,0.5999999999999996,24
0.2,39.99,0.9000000000000004,12
0.1,182.99,0.5999999999999996,781
0.2,90.99,0.2999999999999998,126
0.1,69.99,0.7999999999999998,39
0.5,59.46,0.5,4208
0.1,47.99,0.7999999999999998,17
0.05,99.99,0.40000000000000036,16
0.3,64.99,0.7999999999999998,1168
0.8,58.49,0.7999999999999998,1294
0.05,95.99,0.40000000000000036,12
2.0,69.99,0.40000000000000036,403
0.2,65.9,0.5999999999999996,2567
0.1,59.49,0.7000000000000002,139
0.1,143.99,0.7999999999999998,173
0.05,163.25,0.9000000000000004,611
0.6,110.49,0.5,39
0.4,172.49,0.5,752
0.3,44.84,0.2999999999999998,35
0.1,35.8,1.0,295
0.4,139.99,0.7999999999999998,1228
0.7,32.99,0.5999999999999996,13332
0.1,129.99,0.7000000000000002,574
8.0,29.99,0.7000000000000002,9850
0.05,52.79,0.7000000000000002,7811
1.0,59.27,0.7000000000000002,1874
0.05,42.99,1.0,46
0.1,79.99,0.5999999999999996,115
0.1,143.99,0.5,91
0.1,41.79,0.7000000000000002,184
0.1,47.99,0.7999999999999998,17
0.05,132.0,0.5999999999999996,108
0.05,139.99,0.7000000000000002,2637
0.05,247.45,0.5,132
0.1,179.63,0.7000000000000002,414
0.05,112.49,0.0,1
1.0,11.99,0.5999999999999996,5222
0.05,89.8,0.9000000000000004,12
0.1,139.99,0.5999999999999996,50
0.05,214.99,0.7000000000000002,9
0.6,39.99,0.7000000000000002,1914
0.05,214.99,0.7000000000000002,9
0.05,95.99,0.40000000000000036,12
0.05,39.88,1.0,55
0.05,129.99,0.5999999999999996,151
0.1,35.18,0.7000000000000002,17278
2.0,26.99,0.7000000000000002,8013
0.05,113.99,0.9000000000000004,91
4.0,119.0,0.5,11145
0.05,132.0,0.5999999999999996,108
0.3,55.19,0.7000000000000002,8306
5.0,10.97,0.7999999999999998,21424
0.1,46.89,0.7999999999999998,142
0.05,59.99,0.7000000000000002,213
0.1,279.99,0.7999999999999998,205
0.05,181.99,1.1,656
0.2,272.99,0.7000000000000002,617
0.4,18.21,0.9000000000000004,4079
0.1,143.99,0.7999999999999998,173
0.1,33.07,0.5,535
0.1,132.59,0.7999999999999998,257
0.1,135.99,0.7000000000000002,238
0.05,127.99,0.7000000000000002,43
2.0,26.99,0.7000000000000002,8013
8.0,29.99,0.7000000000000002,9850
0.1,71.98,0.7000000000000002,7383
0.3,24.99,0.7999999999999998,3521
0.1,297.97,1.0,1076
0.6,39.99,0.7000000000000002,1914
0.05,59.99,0.7000000000000002,68
0.2,35.18,0.7000000000000002,6896
3.0,27.99,0.5999999999999996,17219
0.2,22.99,1.1,163
0.2,57.22,0.7000000000000002,5753
0.05,21.99,1.0,3516
0.2,132.59,0.2999999999999998,93
0.05,67.99,0.5999999999999996,20
0.9,37.99,0.40000000000000036,1039
0.4,129.0,0.5999999999999996,2046
0.05,129.99,0.9000000000000004,248
0.05,135.99,0.9000000000000004,111
0.05,113.99,0.9000000000000004,91
0.022,267.67,4.0,1
0.05,111.99,0.7000000000000002,109
0.05,127.99,0.7999999999999998,124
0.05,289.99,0.9000000000000004,763
0.05,214.99,0.7000000000000002,9
0.05,289.99,0.9000000000000004,763
0.3,79.99,0.7000000000000002,193
