Sales,Price per count,star,comment count
2.0,0.28,0.5999999999999996,305
1.0,0.16,0.40000000000000036,434
3.0,0.15,0.5,3029
50.0,0.11,0.5999999999999996,7659
20.0,0.13,0.5,3776
20.0,0.17,0.2999999999999998,20845
4.0,0.09,0.5999999999999996,11103
60.0,0.14,0.40000000000000036,11232
80.0,0.31,0.2999999999999998,16892
0.6,0.22,0.5999999999999996,305
200.0,0.05,0.40000000000000036,34560
1.0,0.21,0.2999999999999998,347
10.0,0.15,0.2999999999999998,2523
20.0,0.25,0.20000000000000018,8518
20.0,0.2,0.40000000000000036,1879
5.0,0.39,0.40000000000000036,821
10.0,0.15,0.2999999999999998,2523
10.0,0.28,0.20000000000000018,7941
10.0,0.21,0.20000000000000018,5904
10.0,0.29,0.5999999999999996,6432
1.0,0.11,0.5999999999999996,11081
3.0,0.17,0.5,257
10.0,0.5,0.2999999999999998,2319
100.0,0.05,0.2999999999999998,27778
10.0,0.27,0.2999999999999998,908
80.0,0.06,0.40000000000000036,7536
20.0,0.35,0.2999999999999998,8622
1.0,0.28,0.5,107
1.0,0.21,0.7000000000000002,219
0.5,0.21,0.5,58
0.6,0.22,0.5999999999999996,305
0.2,0.17,0.5999999999999996,158
30.0,0.25,0.2999999999999998,6985
3.0,0.15,0.5,3029
10.0,0.5,0.40000000000000036,3765
3.0,0.22,0.7000000000000002,219
0.2,0.19,0.5,68
0.5,0.21,0.5,58
20.0,0.14,0.9000000000000004,21309
10.0,0.32,0.40000000000000036,2178
1.0,0.05,0.7999999999999998,12249
0.1,0.71,1.2999999999999998,1405
0.1,0.17,0.40000000000000036,98
0.5,0.5,0.5,352
2.0,0.45,0.5,1382
0.001,1.83,0.5,1086
1.0,0.28,0.5,107
1.0,0.16,0.40000000000000036,434
0.7,0.67,0.5999999999999996,1330
0.2,0.64,0.7999999999999998,83
0.1,0.71,1.2999999999999998,1405
1.0,0.24,0.7000000000000002,101
1.0,0.22,0.5,129
5.0,0.34,0.2999999999999998,2428
0.1,0.13,0.7000000000000002,72
3.0,0.73,0.5,3511
1.0,0.53,0.40000000000000036,655
3.0,0.53,0.5999999999999996,389
0.4,0.63,0.7000000000000002,19
1.0,0.22,0.5,129
6.0,0.56,0.5999999999999996,3027
0.1,0.35,0.7999999999999998,249
0.6,0.61,0.5,178
0.1,0.64,0.5,71
0.1,0.9,1.0,67
1.0,0.25,1.2999999999999998,295
1.0,0.56,0.7000000000000002,1819
0.2,0.17,0.5999999999999996,158
0.001,1.4,0.7999999999999998,165
0.001,1.12,0.7999999999999998,165
0.1,0.13,0.7000000000000002,72
0.5,0.44,1.2999999999999998,1405
0.1,0.42,0.40000000000000036,10507
0.3,0.62,0.9000000000000004,40
0.4,0.53,0.5999999999999996,98
0.4,0.33,0.40000000000000036,1025
1.0,0.29,0.20000000000000018,928
1.0,0.26,0.5,2917
1.0,0.36,0.40000000000000036,4065
2.0,0.57,0.40000000000000036,1152
0.1,0.42,0.40000000000000036,10507
10.0,0.08,0.2999999999999998,1797
0.7,0.31,0.40000000000000036,109
0.6,0.53,0.5999999999999996,147
1.0,0.56,1.0,549
0.1,0.24,0.7999999999999998,202
0.1,0.19,1.0,33
0.2,0.64,0.7999999999999998,83
0.1,0.56,0.7000000000000002,50
0.4,0.5,1.2999999999999998,1405
0.3,0.22,1.0,310
0.5,1.85,0.5,1335
0.5,0.56,0.7999999999999998,468
4.0,0.44,0.2999999999999998,1839
0.1,0.78,0.5,107
10.0,0.34,0.2999999999999998,8601
0.001,1.39,0.7000000000000002,11974
1.0,0.25,1.2999999999999998,295
0.1,0.45,0.5,223
0.001,1.0,1.0,2744
0.2,0.27,0.5999999999999996,39
4.0,0.44,0.2999999999999998,1839
0.001,1.0,1.0,2744
0.001,1.0,5.0,0
0.2,1.5,0.5999999999999996,1364
0.001,1.34,0.5999999999999996,4173
0.001,1.09,0.40000000000000036,32
0.002,2.0,0.0,10
0.1,0.16,1.2000000000000002,698
0.1,0.64,0.5,71
0.1,1.0,0.09999999999999964,30
0.1,0.64,0.7000000000000002,1514
0.001,1.28,0.5999999999999996,159
0.4,0.59,0.7999999999999998,227
0.8,0.37,0.5,256
1.0,0.43,0.20000000000000018,529
0.8,0.37,0.5,256
0.1,1.0,0.09999999999999964,30
0.3,0.49,0.2999999999999998,27
0.3,0.6,0.40000000000000036,157
0.1,0.41,0.5999999999999996,205
0.002,2.0,0.09999999999999964,22
0.1,0.7,0.5,67
0.001,1.05,0.5,24
0.001,1.6,0.7000000000000002,26
0.001,1.6,0.7000000000000002,26
0.4,0.33,0.2999999999999998,416
0.002,2.0,0.40000000000000036,103
0.001,1.37,5.0,0
0.1,0.93,0.7999999999999998,72
0.2,0.65,0.5,84
0.001,1.94,5.0,0
0.001,1.7,0.7000000000000002,403
0.2,0.76,0.7999999999999998,59
0.1,0.93,0.7999999999999998,72
0.001,1.79,1.0,1
0.002,2.0,0.0,1
0.001,1.7,0.7000000000000002,403
0.001,1.62,0.7000000000000002,11974
0.2,0.76,0.7999999999999998,59
0.001,1.86,0.7000000000000002,11974
0.1,0.25,0.5999999999999996,65
0.1,0.94,0.5999999999999996,81
0.1,0.47,0.2999999999999998,42
0.1,0.66,0.5999999999999996,524
0.002,2.0,0.7000000000000002,771
0.002,2.0,0.7000000000000002,143
